record,detector,rep,runtime_s,duration_s,ms_per_min_ecg,realtime_factor,samples_per_s,n_samples,n_detections,runtime_boundary
117,Embedded Pan-Tompkins firmware replay,6,0.3084852290339768,1805.556,10.25119893375703,0.00017085331556261716,1463243.4798046155,451389,1535,controlled offline execution time of the firmware-equivalent implementation
117,Embedded Pan-Tompkins firmware replay,7,0.3151778979226947,1805.556,10.473601414390737,0.00017456002357317895,1432172.1255680006,451389,1535,controlled offline execution time of the firmware-equivalent implementation
118,Embedded Pan-Tompkins firmware replay,1,0.31440990790724754,1805.556,10.448080521697943,0.0001741346753616324,1435670.40556865,451389,2277,controlled offline execution time of the firmware-equivalent implementation
118,Embedded Pan-Tompkins firmware replay,2,0.3100305360276252,1805.556,10.302550661213228,0.00017170917768688713,1455950.13247269,451389,2277,controlled offline execution time of the firmware-equivalent implementation
118,Embedded Pan-Tompkins firmware replay,3,0.31224545114673674,1805.556,10.376153976284426,0.00017293589960474043,1445622.3408291514,451389,2277,controlled offline execution time of the firmware-equivalent implementation
118,Embedded Pan-Tompkins firmware replay,4,0.3137894859537482,1805.556,10.427463428010482,0.00017379105713350804,1438509.001115906,451389,2277,controlled offline execution time of the firmware-equivalent implementation
118,Embedded Pan-Tompkins firmware replay,5,0.31247760099358857,1805.556,10.38386849237316,0.000173064474872886,1444548.340632139,451389,2277,controlled offline execution time of the firmware-equivalent implementation
118,Embedded Pan-Tompkins firmware replay,6,0.3105560769326985,1805.556,10.320014785452187,0.00017200024642420313,1453486.2896848798,451389,2277,controlled offline execution time of the firmware-equivalent implementation
118,Embedded Pan-Tompkins firmware replay,7,0.31295424001291394,1805.556,10.399707569731891,0.00017332845949553154,1442348.2486812563,451389,2277,controlled offline execution time of the firmware-equivalent implementation
119,Embedded Pan-Tompkins firmware replay,1,0.3097934680990875,1805.556,10.294672713527161,0.00017157787855878604,1457064.291154206,451389,1987,controlled offline execution time of the firmware-equivalent implementation
119,Embedded Pan-Tompkins firmware replay,2,0.3107622649986297,1805.556,10.326866571802691,0.0001721144428633782,1452521.9141454976,451389,1987,controlled offline execution time of the firmware-equivalent implementation
119,Embedded Pan-Tompkins firmware replay,3,0.30632012290880084,1805.556,10.17925080946149,0.0001696541801576915,1473585.8542809144,451389,1987,controlled offline execution time of the firmware-equivalent implementation
119,Embedded Pan-Tompkins firmware replay,4,0.3111572901252657,1805.556,10.339993557395031,0.00017233322595658384,1450677.8864743288,451389,1987,controlled offline execution time of the firmware-equivalent implementation
